truetime,L,R,B,D,C
0.7250000000,35.7338932175,135.7338932175,64.2661067825,0.0000000000,0.0000000000
0.7300000000,35.5564942844,135.5564942844,64.4435057156,0.0000000000,0.0000000000
0.7350000000,35.3807824447,135.3807824447,64.6192175553,0.0000000000,0.0000000000
0.7400000000,35.2067385959,135.2067385959,64.7932614041,0.0000000000,0.0000000000
0.7450000000,35.0343439035,135.0343439035,64.9656560965,0.0000000000,0.0000000000
0.7500000000,34.8635797971,134.8635797971,65.1364202029,0.0000000000,0.0000000000
0.7550000000,34.6944279653,134.6944279653,65.3055720347,0.0000000000,0.0000000000
0.7600000000,34.5268703515,134.5268703515,65.4731296485,0.0000000000,0.0000000000
0.7650000000,34.3608891494,134.3608891494,65.6391108506,0.0000000000,0.0000000000
0.7700000000,34.1964667986,134.1964667986,65.8035332014,0.0000000000,0.0000000000
0.7750000000,34.0335859807,134.0335859807,65.9664140193,0.0000000000,0.0000000000
0.7800000000,33.8722296150,133.8722296150,66.1277703850,0.0000000000,0.0000000000
0.7850000000,33.7123808543,133.7123808543,66.2876191457,0.0000000000,0.0000000000
0.7900000000,33.5540230812,133.5540230812,66.4459769188,0.0000000000,0.0000000000
0.7950000000,33.3971399042,133.3971399042,66.6028600958,0.0000000000,0.0000000000
0.8000000000,33.2417151538,133.2417151538,66.7582848462,0.0000000000,0.0000000000
0.8050000000,33.0877328787,133.0877328787,66.9122671213,0.0000000000,0.0000000000
0.8100000000,32.9351773425,132.9351773425,67.0648226575,0.0000000000,0.0000000000
0.8150000000,32.7840330197,132.7840330197,67.2159669803,0.0000000000,0.0000000000
0.8200000000,32.6342845925,132.6342845925,67.3657154075,0.0000000000,0.0000000000
0.8250000000,32.4859169473,132.4859169473,67.5140830527,0.0000000000,0.0000000000
0.8300000000,32.3389151714,132.3389151714,67.6610848286,0.0000000000,0.0000000000
0.8350000000,32.1932645493,132.1932645493,67.8067354507,0.0000000000,0.0000000000
0.8400000000,32.0489505603,132.0489505603,67.9510494397,0.0000000000,0.0000000000
0.8450000000,31.9059588744,131.9059588744,68.0940411256,0.0000000000,0.0000000000
0.8500000000,31.7642753497,131.7642753497,68.2357246503,0.0000000000,0.0000000000
0.8550000000,31.6238860296,131.6238860296,68.3761139704,0.0000000000,0.0000000000
0.8600000000,31.4847771391,131.4847771391,68.5152228609,0.0000000000,0.0000000000
0.8650000000,31.3469350824,131.3469350824,68.6530649176,0.0000000000,0.0000000000
0.8700000000,31.2103464401,131.2103464401,68.7896535599,0.0000000000,0.0000000000
0.8750000000,31.0749979659,131.0749979659,68.9250020341,0.0000000000,0.0000000000
0.8800000000,30.9408765843,130.9408765843,69.0591234157,0.0000000000,0.0000000000
0.8850000000,30.8079693877,130.8079693877,69.1920306123,0.0000000000,0.0000000000
